,episode_number,pitch_number,brand_name,idea,deal,pitcher_ask_amount,ask_equity,ask_valuation,deal_amount,deal_equity,deal_valuation,ashneer_present,anupam_present,aman_present,namita_present,vineeta_present,peyush_present,ghazal_present,ashneer_deal,anupam_deal,aman_deal,namita_deal,vineeta_deal,peyush_deal,ghazal_deal,total_sharks_invested,amount_per_shark,equity_per_shark,sector
0,1,1,BluePine Industries,Frozen Momos,1,50.0,5.0,1000.0,75.0,16.0,468.75,1,1,1,1,1,0,0,1,0,1,0,1,0,0,3,25.0,5.333333333,Packaged Food 
1,1,2,Booz scooters,Renting e-bike for mobility in private spaces,1,40.0,15.0,266.67,40.0,50.0,80.0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,2,20.0,25.0,EV
2,1,3,Heart up my Sleeves,Detachable Sleeves,1,25.0,10.0,250.0,25.0,30.0,83.33,1,1,1,1,1,0,0,0,1,0,0,1,0,0,2,12.5,15.0,Lifestyle/Wearable 
3,2,4,Tagz Foods,Healthy Potato Chips,1,70.0,1.0,7000.0,70.0,2.75,2545.45,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,70.0,2.75,Packaged Food 
4,2,5,Head and Heart,Brain Development Course,0,50.0,5.0,1000.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Ed. Tech
5,2,6,Agro tourism,Tourism,0,50.0,5.0,1000.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Tourism
6,3,7,Qzense Labs,Food Freshness Detector,0,100.0,0.25,40000.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Agri Tech
7,3,8,Peeschute,Disposable Urine Bag,1,75.0,4.0,1875.0,75.0,6.0,1250.0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,75.0,6.0,Health Tech
8,3,9,NOCD,Energy Drink,1,50.0,2.0,2500.0,20.0,15.0,133.33,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,20.0,15.0,Packaged Food 
9,4,10,Cosiq,Intelligent Skincare,1,50.0,7.5,666.67,50.0,25.0,200.0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,2,25.0,12.5,Lifestyle/ bodycare
10,4,11,JhaJi Achaar,Pickle,0,50.0,10.0,500.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Packaged Food 
11,4,12,Bummer,Underwear,1,75.0,4.0,1875.0,75.0,7.5,1000.0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,2,37.5,3.75,Lifestyle/Wearable 
12,5,13,Revamp Moto,E-Bike,1,100.0,1.0,10000.0,100.0,1.5,6666.67,1,1,1,1,1,0,0,0,1,1,0,0,0,0,2,50.0,0.75,EV
13,5,14,Hungry Heads,Restaurant serving 80 types of Maggi,0,50.0,5.0,1000.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Restaurant 
14,5,15,Shrawani Engineers,Belly Button Shaper,0,10.0,20.0,50.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Lifestyle/ bodycare
15,6,16,Skippi Pops,Ice-Pops,1,45.0,5.0,900.0,100.0,15.0,666.67,1,1,1,1,1,0,0,1,1,1,1,1,0,0,5,20.0,3.0,Packaged Food 
16,6,17,Menstrupedia,Menstrual Awareness Comic,1,50.0,10.0,500.0,50.0,20.0,250.0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,50.0,20.0,Ed. Tech
17,6,18,Hecolll,Pollution Resistant Fabric,0,100.0,1.0,10000.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Health Tech
18,7,19,Raising Superstars,Child Development App,0,100.0,2.0,5000.0,100.0,4.0,2500.0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,2,50.0,2.0,Ed. Tech
19,7,20,Torch-it,Gadgets for visually impaired people,1,75.0,1.0,7500.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Tech
20,7,21,La Kheer Deli,Kheer in variety of flavors,0,50.0,7.5,666.67,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Packaged Food 
21,8,22,Beyond Snack,Kerala Banana Chips,1,50.0,2.5,2000.0,50.0,2.5,2000.0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,2,25.0,1.25,Packaged Food 
22,8,23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,1,56.0,7.5,746.67,56.0,33.3,168.17,1,1,1,1,0,1,0,0,1,0,0,0,1,0,2,28.0,16.65,Health Tech
23,8,24,Motion Breeze,Smart Electric Motorcycle,1,30.0,3.0,1000.0,30.0,6.0,500.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,30.0,6.0,EV
24,9,25,Altor,Smart Helmets,1,50.0,5.0,1000.0,50.0,7.0,714.29,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2,25.0,3.5,Tech
25,9,26,Ariro,Wooden Toys,1,50.0,2.5,2000.0,50.0,10.0,500.0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,2,25.0,5.0,Toy
26,9,27,Kabira Handmade,Healthy Oils,0,100.0,5.0,2000.0,0.0,0.0,0.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,Packaged Food 
27,10,28,Nuutjob,Male Intimate Hygiene,1,25.0,5.0,500.0,25.0,20.0,125.0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,3,8.333333333,6.666666667,Lifestyle/ bodycare
28,10,29,Meatyour,Eggs,1,30.0,5.0,600.0,30.0,20.0,150.0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,3,10.0,6.666666667,Food
29,10,30,EventBeep,Student Community App,1,30.0,2.0,1500.0,30.0,3.0,1000.0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,3,10.0,1.0,Tech
30,11,31,Gopal's 56,Fiber Ice Cream,0,30000.0,25.0,120000.0,0.0,0.0,0.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,Packaged Food 
31,11,32,ARRCOAT Surface Textures,Wall Building,1,50.0,5.0,1000.0,50.0,15.0,333.33,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,50.0,15.0,Lifestyle/ Gift & Decorative 
